ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,value_2021,latest_value,footnotes,nature
1,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,175,Mayotte,4,14,Eastern Africa,Country,45.14015057,-12.82217691,MYT,0,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.96434,0.9642,0.96395,0.96349,0.95956,0.95494,0.95026,0.94625,0.9419,0.93761,0.93286,0.92888,0.92418,0.92048,0.91567,0.91075,0.90851,0.90448,0.90055,0.89553,0.89168,0.88622,0.88149,0.87624,0.87151,0.86705,0.86184,0.8576,0.8529,0.8529,,E: Estimated data
2,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,484,Mexico,4,13,Central America,Country,-102.5148166,23.93378032,MEX,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.73453,0.73381,0.73285,0.73192,0.72988,0.72784,0.72578,0.7231,0.72073,0.71859,0.7158,0.71383,0.71167,0.70937,0.70699,0.70491,0.70272,0.70077,0.69863,0.69613,0.69371,0.69118,0.68867,0.68673,0.68418,0.68244,0.67947,0.67741,0.67509,0.67509,,E: Estimated data
3,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,583,Micronesia (Federated States of),4,543,Oceania (exc. Australia and New Zealand),Country,158.225216,6.880670092,FSM,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.74768,0.74752,0.74698,0.74594,0.74283,0.73822,0.7344,0.73108,0.72707,0.72341,0.71845,0.71441,0.70996,0.70591,0.70203,0.69836,0.69456,0.69118,0.68698,0.68323,0.67888,0.67479,0.67068,0.66624,0.66181,0.6564,0.65475,0.65067,0.64624,0.64624,,E: Estimated data
4,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,583,Micronesia (Federated States of),4,543,Oceania (exc. Australia and New Zealand),Country,158.225216,6.880670092,FSM,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.74768,0.74752,0.74698,0.74594,0.74283,0.73822,0.7344,0.73108,0.72707,0.72341,0.71845,0.71441,0.70996,0.70591,0.70203,0.69836,0.69456,0.69118,0.68698,0.68323,0.67888,0.67479,0.67068,0.66624,0.66181,0.6564,0.65475,0.65067,0.64624,0.64624,,E: Estimated data
5,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,492,Monaco,5,155,Western Europe,Country,7.424214814,43.73532918,MCO,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.75571,0.75554,0.75536,0.75521,0.75505,0.75494,0.7549,0.7549,0.75498,0.75538,0.75587,0.75628,0.75638,0.75651,0.7564,0.7564,0.7564,0.7564,0.7564,0.75548,0.7552,0.75453,0.75362,0.7527,0.75208,0.75147,0.75086,0.75025,0.74952,0.74952,,E: Estimated data
6,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,496,Mongolia,4,30,Eastern Asia,Country,103.0728057,46.83892054,MNG,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.96466,0.96439,0.96412,0.96389,0.96355,0.96323,0.96286,0.96256,0.96225,0.96192,0.96161,0.9613,0.961,0.96068,0.96037,0.96017,0.9599,0.95964,0.95939,0.9591,0.95892,0.95872,0.95851,0.95829,0.95807,0.95787,0.95766,0.95758,0.95735,0.95735,,E: Estimated data
7,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,499,Montenegro,5,39,Southern Europe,Country,19.25214024,42.78717043,MNE,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.87523,0.87243,0.86927,0.86665,0.86358,0.8608,0.85841,0.85509,0.85244,0.84966,0.84635,0.84438,0.84191,0.84001,0.83671,0.83421,0.83218,0.82841,0.8263,0.82357,0.82111,0.81781,0.81603,0.81357,0.81007,0.80796,0.80535,0.80278,0.79979,0.79979,,E: Estimated data
8,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,500,Montserrat,4,29,Caribbean,Country,-62.19261223,16.73558313,MSR,0,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.83714,0.82981,0.81998,0.80835,0.7942,0.77729,0.76935,0.76906,0.76708,0.78861,0.80785,0.82331,0.8255,0.82533,0.82428,0.82367,0.82264,0.82166,0.82034,0.819,0.81825,0.81702,0.81555,0.81467,0.8136,0.81259,0.81125,0.81055,0.80933,0.80933,,E: Estimated data
9,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,504,Morocco,4,15,Northern Africa,Country,-6.281942841,31.8440131,MAR,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.90523,0.90435,0.90358,0.90274,0.90199,0.90106,0.90023,0.89954,0.8986,0.8979,0.89718,0.89638,0.89558,0.89475,0.89428,0.89369,0.89314,0.8923,0.89168,0.89109,0.89025,0.88956,0.88873,0.88805,0.88701,0.88632,0.8857,0.88504,0.88405,0.88405,,E: Estimated data
10,15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.5,"Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species",C150501,15.5.1,Red List Index,2021.Q2.G.03,"['biological diversity', 'endangered species']",ER_RSK_LST,Red List Index,508,Mozambique,4,14,Eastern Africa,Country,38.18479941,-14.27963886,MOZ,1,1,,IX,Index,ER_RSK_LST,,29,1993,2021,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.86683,0.86637,0.8653,0.86406,0.86171,0.8589,0.85611,0.85262,0.85009,0.84702,0.84435,0.84117,0.83854,0.83551,0.83235,0.83033,0.82704,0.82467,0.82191,0.81886,0.81584,0.81217,0.81006,0.80642,0.80261,0.79968,0.79665,0.79328,0.78938,0.78938,,E: Estimated data
